Year,Month,Day,Value,Completeness
2023,11,14,1,C
2023,11,15,3,C
2023,11,16,2,C
2023,11,17,3,C
2023,11,18,3,C
2023,11,19,3,C
2023,11,20,3,C
2023,11,21,3,C
2023,11,22,3,C
2023,11,23,2,C
2023,11,24,3,C
2023,11,25,3,C
2023,11,26,2,C
2023,11,27,2,C
2023,11,28,2,C
2023,11,29,2,C
2023,11,30,2,C
,,,,
*** 沒有數據/unavailable,,,,
# 數據不完整/data incomplete,,,,
C 數據完整/data Complete,,,,
